Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m)
PEFX3,"19,00",ON,28/10/2008,PETROFLEX INDÚSTRIA E COMÉRCIO S.A ON,"0,00",Químicos,"0,00",Petroquímicos,0
OGXP3,"1,63",ON,10/01/2019,OGX ON,"1,46","Petróleo, Gás e Biocombustíveis","1,89","Exploração, Refino e Distribuição",0
PALF3,"279,90",ON,04/01/2006,CPFL ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
ODPV3,"12,59",ON NM,30/11/2021,ODONTOPREV ON NM,"11,76",Serv.Méd.Hospit. Análises e Diagnósticos,"16,46",Serv.Méd.Hospit. Análises e Diagnósticos,20.669.900
ODER4,"190,00",PN,09/02/2021,CONSERVAS ODERICH SA PN,"41,52",Alimentos Processados,"190,00",Alimentos Diversos,0
PDTC3,"4,85",ON,30/11/2021,PADTEC ON,"4,85",Serviços Financeiros Diversos,"9,99",Gestão de Recursos e Investimentos,1.382.660
PCAR5,"67,12",PNA N1,31/03/2011,PÃO DE AÇÚCAR PNA N1,"0,00",Comércio e Distribuição,"0,00",Alimentos,0
PATI4,"59,00",PN,30/11/2021,PANATLANTICA PN,"24,62",Siderurgia e Metalurgia,"91,61",Artefatos de Ferro e Aço,2.378
PCAR3,"22,40",ON,30/11/2021,PÃO DE AÇÚCAR ON,"20,32",Comércio e Distribuição,"70,72",Alimentos,112.787.000
PCAR4,"72,11",PN N1,28/02/2020,PÃO DE AÇÚCAR PN N1,"0,00",Comércio e Distribuição,"0,00",Alimentos,0
PALF11,"125,00",PRC,01/04/2005,CPFL PRC,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
NINJ3,"3,81",ON NM,30/11/2021,GETNINJAS ON NM,"3,81",Programas e Serviços,"27,05",Programas e Serviços,2.153.050
NEOE3,"17,38",ON NM,30/11/2021,NEOENERGIA ON NM,"14,61",Energia Elétrica,"18,85",Energia Elétrica,37.784.700
OSXB3,"9,03",ON NM,30/11/2021,OSX BRASIL ON NM,"6,50","Petróleo, Gás e Biocombustíveis","25,44",Equipamentos e Serviços,267.541
OIBR3,"0,88",ON N1,30/11/2021,OI ON N1,"0,88",Telecomunicações,"2,50",Telecomunicações,86.322.700
OIBR4,"1,37",ON N1,30/11/2021,OI ON N1,"1,37",Telecomunicações,"3,64",Telecomunicações,1.632.200
OFSA3,"25,01",ON NM,30/11/2021,OUROFINO S/A ON NM,"25,00",Medicamentos e Outros Produtos,"38,45",Medicamentos e Outros Produtos,537.043
