Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m)
IFCM3,"14,43",ON NM,30/11/2021,INFRACOMM ON NM,"13,05",Programas e Serviços,"23,78",Programas e Serviços,14.835.900
HBOR3,"4,30",ON,30/11/2021,Helbor ON,"4,30",Construção Civil,"12,46",Incorporações,8.334.700
HAGA4,"1,84",ON,30/11/2021,HAGA ON,"1,76",Construção e Engenharia,"3,85",Produtos para Construção,126.346
IENG5,"0,12",PNA,24/02/2012,INEPAR ENERGIA PNA,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
IDVL4,"2,67",PN N1,30/12/2020,Indusval PN N1,"2,20",Intermediários Financeiros,"3,03",Bancos,0
IDVL3,"2,16",ON N1,30/12/2020,Indusval ON N1,"1,86",Intermediários Financeiros,"2,95",Bancos,0
GRND3,"8,38",ON,30/11/2021,GRENDENE SA ON,"6,44","Tecidos, Vestuário e Calçados","12,28",Calçados,21.283.700
HYPE3,"27,12",ON,30/11/2021,HYPERA ON,"27,12",Comércio e Distribuição,"36,70",Medicamentos e Outros Produtos,103.463.000
GPAR3,"43,00",ON,17/11/2021,CELGPAR ON,"26,80",Energia Elétrica,"114,13",Energia Elétrica,4.873
GOLL4,"16,00",PN,30/11/2021,GOL LINHAS AEREAS INTELIGENTES SA PN,"15,08",Transporte,"27,97",Transporte Aéreo,120.994.000
GOAU4,"10,65",PN N1,30/11/2021,METALÚRGICA GERDAU PN N1,"8,39",Siderurgia e Metalurgia,"13,70",Siderurgia,148.346.000
GOAU3,"9,56",ON N1,30/11/2021,METALÚRGICA GERDAU ON N1,"7,18",Siderurgia e Metalurgia,"12,87",Siderurgia,1.960.290
HOOT4,"2,92",PN,30/11/2021,HOTEIS OTHON S.A. PN,"2,55",Hoteis e Restaurantes,"5,50",Hotelaria,422.208
HGTX4,"9,60",PN N1,15/05/2007,CIA HERING PN N1,"0,00","Tecidos, Vestuário e Calçados","0,00",Vestuário,0
GLOB4,"30,49",PN,18/02/2008,VIA PN,"0,00",Comércio,"0,00",Eletrodomésticos,0
HBRE3,"9,80",ON NM,30/11/2021,HBR REALTY ON NM,"9,12",Exploração de Imóveis,"18,90",Exploração de Imóveis,187.804
HGTX3,"37,50",ON N1,17/09/2021,CIA HERING ON N1,"14,34","Tecidos, Vestuário e Calçados","40,57",Vestuário,0
HETA4,"14,00",PN,30/11/2021,HERCULES S/A PN,"7,50",Utilidades Domésticas,"17,44",Utensílios Domésticos,90.908
HETA3,"96,00",ON,14/09/2021,HERCULES S/A ON,"28,07",Utilidades Domésticas,"180,00",Utensílios Domésticos,0
HBSA3,"2,71",ON NM,30/11/2021,HIDROVIAS ON NM,"2,71",Transporte,"7,63",Transporte Hidroviário,15.510.900
GGBR3,"21,04",ON N1,30/11/2021,GERDAU S.A. ON N1,"16,39",Siderurgia e Metalurgia,"27,19",Siderurgia,1.990.370
GETT4,"1,70",PN,30/11/2021,GETNET BR PN,"1,57",Serviços Financeiros Diversos,"5,49",Serviços Financeiros Diversos,3.045.710
GETI4,"14,46",PN,30/12/2015,AES TIETE SA PN,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
GETI3,"14,45",ON,30/12/2015,AES TIETE SA ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
GEPA3,"32,00",ON,30/11/2021,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA ON","31,50",Energia Elétrica,"42,61",Energia Elétrica,3.533
GBIO33,"10,40",DR3,27/08/2020,BIOTOSCANA DR3,"9,87",Medicamentos e Outros Produtos,"10,40",Medicamentos e Outros Produtos,0
HAPV3,"10,91",ON NM,30/11/2021,HAPVIDA ON NM,"10,91",Serv.Méd.Hospit. Análises e Diagnósticos,"18,17",Serv.Méd.Hospit. Análises e Diagnósticos,248.478.000
HAGA3,"3,83",ON,30/11/2021,HAGA ON,"2,85",Construção e Engenharia,"4,62",Produtos para Construção,80.412
GMAT3,"5,86",ON NM,30/11/2021,GRUPO MATEUS ON NM,"5,86",Comércio e Distribuição,"9,00",Alimentos,38.966.100
GUAR3,"10,20",ON,30/11/2021,GUARARAPES CONFECÇÕES ON,"10,20",Comércio,"22,83","Tecidos, Vestuário e Calçados",10.723.400
GUAR4,"151,00",PN,06/02/2019,GUARARAPES CONFECÇÕES PN,"0,00",Comércio,"0,00","Tecidos, Vestuário e Calçados",0
GNDI3,"61,46",ON NM,30/11/2021,INTERMEDICA ON NM,"61,46",Serv.Méd.Hospit. Análises e Diagnósticos,"101,10",Serv.Méd.Hospit. Análises e Diagnósticos,280.880.000
GSHP3,"36,00",ON NM,29/11/2021,Generalshopp ON NM,"35,40",Exploração de Imóveis,"61,93",Exploração de Imóveis,26.433
FTRX3,"0,13",ON,10/07/2013,FAB TECIDOS C RENAUX ON,"0,00","Tecidos, Vestuário e Calçados","0,00",Fios e Tecidos,0
FRAS3,"12,54",ON,30/11/2021,FRAS-LE S.A. ON,"7,82",Material de Transporte,"17,30",Material Rodoviário,2.254.310
GGPS3,"14,51",ON NM,30/11/2021,GPS ON NM,"11,91",Serviços Diversos,"19,76",Serviços Diversos,22.205.400
GGBR4,"25,80",PN N1,30/11/2021,GERDAU S.A. PN N1,"19,96",Siderurgia e Metalurgia,"33,77",Siderurgia,368.340.000
GFSA3,"2,04",ON,30/11/2021,GAFISA ON,"2,00",Construção Civil,"5,91",Incorporações,22.531.700
GEPA4,"31,53",PN,30/11/2021,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA PN","31,53",Energia Elétrica,"41,53",Energia Elétrica,68.471
FIGE4,"38,01",PN,01/03/2016,INVESTIMENTOS BEMGE PN,"0,00",Outros,"0,00",Outros,0
GETT3,"2,00",ON,30/11/2021,GETNET BR ON,"1,76",Serviços Financeiros Diversos,"7,05",Serviços Financeiros Diversos,4.050.000
GAFP4,"0,05",PN,08/12/2004,CIMOB PN,"0,00",Construção Civil,"0,00",Incorporações,0
FGUI4,"0,38",PN,28/07/2009,FERREIRA GUIMARAES PN,"0,00","Tecidos, Vestuário e Calçados","0,00",Fios e Tecidos,0
FGUI3,"12,00",ON,31/07/2008,FERREIRA GUIMARAES ON,"0,00","Tecidos, Vestuário e Calçados","0,00",Fios e Tecidos,0
FFTL3,"25,00",ON,21/12/2011,FOSFERTIL ON,"0,00",Químicos,"0,00",Fertilizantes e Defensivos,0
GAFP3,"0,12",ON,08/12/2004,CIMOB ON,"0,00",Construção Civil,"0,00",Incorporações,0
FTRX4,"0,11",PN,08/07/2013,FAB TECIDOS C RENAUX PN,"0,00","Tecidos, Vestuário e Calçados","0,00",Fios e Tecidos,0
FRTA3,"5,55",ON NM,30/11/2021,POMIFRUTAS ON NM,"4,99",Agropecuária,"10,75",Agricultura,32.349
FBMC4,"1,96",PN,18/01/2019,FIBAM PN,"1,96",Siderurgia e Metalurgia,"2,70",Artefatos de Ferro e Aço,0
FBMC3,"80,00",ON,06/11/2012,FIBAM ON,"0,00",Siderurgia e Metalurgia,"0,00",Artefatos de Ferro e Aço,0
FRIO3,"50,59",ON NM,29/11/2021,Metalfrio ON NM,"41,00",Máquinas e Equipamentos,"94,12",Máq. e Equip. Industriais,2.303
FLRY3,"17,47",ON NM,30/11/2021,FLEURY ON NM,"17,47",Serv.Méd.Hospit. Análises e Diagnósticos,"28,01",Serv.Méd.Hospit. Análises e Diagnósticos,46.642.800
FRAS4,"5,79",PN,06/01/2014,FRAS-LE S.A. PN,"0,00",Material de Transporte,"0,00",Material Rodoviário,0
EUCA4,"8,36",PN,30/11/2021,EUCATEX PN,"6,77",Madeira e Papel,"11,99",Madeira,903.996
EUCA3,"13,00",ON,30/11/2021,EUCATEX ON,"12,93",Madeira e Papel,"26,06",Madeira,119.993
ETER3,"14,75",ON,30/11/2021,ETERNIT ON,"10,18",Construção e Engenharia,"33,83",Produtos para Construção,20.844.200
ESTC4,"0,00",PN N2,30/12/1899,YDUQS PART PN N2,"0,00",Diversos,"0,00",Serviços Educacionais,0
FIGE3,"43,00",ON,01/03/2016,INVESTIMENTOS BEMGE ON,"0,00",Outros,"0,00",Outros,0
FIQE3,"6,13",ON NM,30/11/2021,UNIFIQUE ON NM,"5,63",Telecomunicações,"8,99",Telecomunicações,4.597.430
FIBR3,"66,30",ON N1,03/01/2019,Fibria ON N1,"66,09",Madeira e Papel,"68,74",Papel e Celulose,0
EQTL3,"22,57",ON NM,30/11/2021,EQUATORIAL ENERGIA S.A. ON NM,"19,30",Energia Elétrica,"26,31",Energia Elétrica,179.450.000
FFTL4,"25,06",PN,23/12/2011,FOSFERTIL PN,"0,00",Químicos,"0,00",Fertilizantes e Defensivos,0
FHER3,"18,82",ON NM,30/11/2021,Fer Heringer ON NM,"2,87",Químicos,"46,77",Fertilizantes e Defensivos,53.018.700
FESA3,"50,00",ON,30/11/2021,FERBASA ON,"26,27",Siderurgia e Metalurgia,"60,33",Siderurgia,19.303
FESA4,"43,46",PN,30/11/2021,FERBASA PN,"17,61",Siderurgia e Metalurgia,"59,10",Siderurgia,27.055.200
EQMA5B,"0,00",PNA MB,-,CEMAR PNA MB,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
EQMA3B,"41,75",ON MB,30/11/2021,CEMAR ON MB,"37,87",Energia Elétrica,"44,20",Energia Elétrica,129.100
EPAR4,"3,30",PN,10/12/2018,EMBPAR S/A PN,"0,00",Comércio,"0,00",Material de Transporte,0
EPAR3,"15,00",ON,30/11/2021,EMBPAR S/A ON,"9,01",Comércio,"22,32",Material de Transporte,49.016
EVEN3,"6,15",ON NM,30/11/2021,Even ON NM,"6,03",Construção Civil,"12,32",Incorporações,13.066.700
EZTC3,"18,14",ON NM,30/11/2021,EZTec ON NM,"18,12",Construção Civil,"44,99",Incorporações,55.721.000
ENMT3,"79,79",ON,30/11/2021,ENERGISA MT ON,"24,87",Energia Elétrica,"79,99",Energia Elétrica,101.392
ENJU3,"2,89",ON NM,30/11/2021,ENJOEI ON NM,"2,89",Programas e Serviços,"20,90",Programas e Serviços,10.385.500
ENGI3,"16,40",ON,30/11/2021,ENERGISA ON,"13,20",Energia Elétrica,"19,02",Energia Elétrica,147.006
ETER4,"9,85",PN,01/08/2006,ETERNIT PN,"0,00",Construção e Engenharia,"0,00",Produtos para Construção,0
ESTR4,"67,18",PN,22/10/2021,ESTRELA PN,"25,67",Viagens e Lazer,"80,80",Brinquedos e Jogos,1.633
ESTR3,"40,00",ON,12/07/2021,ESTRELA ON,"40,00",Viagens e Lazer,"40,00",Brinquedos e Jogos,0
ESTC11,"23,50",UNT N2,10/07/2008,YDUQS PART UNT N2,"0,00",Diversos,"0,00",Serviços Educacionais,0
ENER3,"10,50",ON,06/05/2005,ENERSUL ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
ENBR3,"21,40",ON,30/11/2021,EDP ENERGIAS DO BRASIL S/A ON,"16,94",Energia Elétrica,"21,40",Energia Elétrica,74.837.600
EMBR3,"19,14",ON,30/11/2021,EMBRAER ON,"8,22",Material de Transporte,"26,05",Material Aeronáutico e de Defesa,220.314.000
EQPA7,"7,00",PNC,01/11/2021,EQTL PARA PNC,"4,58",Energia Elétrica,"9,60",Energia Elétrica,539
ESPA3,"8,15",ON NM,30/11/2021,ESPACOLASER ON NM,"8,15",Comércio,"21,50",Produtos Diversos,26.683.100
ESCE3,"172,00",ON,12/07/2005,ESCELSA ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
ELPL6,"30,20",PNB,20/12/2010,AES ELETROPAULO PNB,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
EQPA6,"10,68",PNB,11/08/2020,EQTL PARA PNB,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
EQPA5,"7,08",PNA,25/11/2021,EQTL PARA PNA,"4,70",Energia Elétrica,"9,58",Energia Elétrica,9.072
EQPA3,"5,00",ON,30/11/2021,EQTL PARA ON,"2,69",Energia Elétrica,"5,82",Energia Elétrica,40.088
ENMT4,"80,30",ON,29/11/2021,ENERGISA MT ON,"28,46",Energia Elétrica,"80,40",Energia Elétrica,22.509
EQMA6B,"0,00",PNB MB,-,CEMAR PNB MB,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
ENGI4,"7,26",PN,30/11/2021,ENERGISA PN,"6,34",Energia Elétrica,"8,28",Energia Elétrica,187.935
ENEV3,"13,95",ON,30/11/2021,ENEVA ON,"13,75",Energia Elétrica,"18,61",Energia Elétrica,92.845.300
ENGI11,"45,49",UNT N2,30/11/2021,ENERGISA UNT N2,"39,28",Energia Elétrica,"50,34",Energia Elétrica,95.177.200
ELET3,"32,63",ON,30/11/2021,ELETROBRÁS ON,"25,39",Energia Elétrica,"47,57",Energia Elétrica,184.484.000
ENER6,"12,00",PNB,18/05/2005,ENERSUL PNB,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
ENER5,"6,00",PNA,29/01/2004,ENERSUL PNA,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
EKTR4,"26,70",PN,26/11/2021,ELEKTRO ELETRICIDADE E SERVIÇOS S.A. PN,"20,46",Energia Elétrica,"31,30",Energia Elétrica,16.802
EMAE4,"59,99",PN,30/11/2021,EMAE PN,"35,23",Energia Elétrica,"97,11",Energia Elétrica,281.253
ENAT3,"13,32",ON,30/11/2021,ENAUTA PART ON,"10,08","Petróleo, Gás e Biocombustíveis","18,71","Exploração, Refino e Distribuição",21.772.200
EGIE3,"38,53",ON,30/11/2021, ENGIE BRASIL ON,"36,16",Energia Elétrica,"43,90",Energia Elétrica,56.535.900
EEEL3,"375,00",ON N1,26/11/2021,CEEE ON N1,"236,29",Energia Elétrica,"375,00",Energia Elétrica,5.094
ECPR4,"85,80",PN,23/06/2021,ENCORPAR PN,"66,98","Tecidos, Vestuário e Calçados","85,80",Fios e Tecidos,0
ECPR3,"79,89",ON,28/09/2021,ENCORPAR ON,"79,89","Tecidos, Vestuário e Calçados","89,00",Fios e Tecidos,0
ECOR3,"8,30",ON NM,30/11/2021,ECORODOVIAS ON NM,"8,19",Transporte,"13,55",Exploração de Rodovias,62.817.900
ELPL5,"30,50",PNA,20/12/2010,AES ELETROPAULO PNA,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
ELPL4,"15,98",PN,24/11/2017,AES ELETROPAULO PN,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
ELPL3,"49,32",ON,26/11/2019,AES ELETROPAULO ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
EALT4,"5,60",PN,30/11/2021,ELECTRO AÇO ALTONA S/A PN,"4,50",Máquinas e Equipamentos,"8,31",Máq. e Equip. Industriais,142.160
ELEV3,"24,30",ON,19/02/2008, ELEVA ON,"0,00",Alimentos Processados,"0,00",Carnes e Derivados,0
ELET6,"32,05",PNB,30/11/2021,ELETROBRÁS PNB,"26,36",Energia Elétrica,"47,42",Energia Elétrica,87.123.900
ELET5,"65,00",PNA,24/11/2021,ELETROBRÁS PNA,"37,29",Energia Elétrica,"80,50",Energia Elétrica,488
ELMD3,"10,47",ON NM,30/11/2021,ELETROMIDIA ON NM,"10,47",Mídia,"22,79",Publicidade e Propaganda,3.298.700
DXCO3,"18,03",ON,30/11/2021,DEXCO ON,"15,51",Madeira e Papel,"23,80",Madeira,50.855.100
ELEK4,"26,00",PN,29/06/2020,ELEKEIROZ S/A PN,"16,99",Químicos,"38,94",Petroquímicos,0
DUQE3,"28,00",ON,11/07/2011,METALURGICA DUQUE SA ON,"0,00",Siderurgia e Metalurgia,"0,00",Artefatos de Ferro e Aço,0
ELCA4,"20,20",PN,20/06/2006,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A. PN,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
ELEK3,"19,11",ON,01/07/2020,ELEKEIROZ S/A ON,"15,51",Químicos,"25,50",Petroquímicos,0
ELCA3,"24,70",ON,20/06/2006,REDE EMPRESAS DE ENERGIA ELÉTRICA S.A. ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
DSUL3,"7,95",ON NM,23/09/2008,DATASUL ON NM,"0,00",Programas e Serviços,"0,00",Programas e Serviços,0
EKTR3,"36,08",ON,09/11/2021,ELEKTRO ELETRICIDADE E SERVIÇOS S.A. ON,"21,36",Energia Elétrica,"45,99",Energia Elétrica,674
EEEL4,"350,00",PN N1,11/11/2021,CEEE PN N1,"236,72",Energia Elétrica,"350,00",Energia Elétrica,2.625
DOTZ3,"3,43",ON NM,30/11/2021,DOTZ SA ON NM,"3,43",Diversos,"17,15",Programas de Fidelização,546.016
DOHL3,"17,51",ON,26/11/2021,DOHLER ON,"17,51","Tecidos, Vestuário e Calçados","44,63",Fios e Tecidos,721
EBEN4,"17,51",PN,16/06/2005,BANDEIRANTE PN,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
DMMO3,"0,61",ON,30/11/2021,DOMMO ON,"0,59","Petróleo, Gás e Biocombustíveis","1,56","Exploração, Refino e Distribuição",2.898.050
DIRR3,"10,18",ON NM,30/11/2021,Direcional Engenharia ON NM,"9,54",Construção Civil,"15,02",Incorporações,19.579.700
DHBI4,"1,01",PN,30/12/2015,DHB PN,"0,00",Material de Transporte,"0,00",Material Rodoviário,0
EALT3,"11,10",ON,30/11/2021,ELECTRO AÇO ALTONA S/A ON,"11,10",Máquinas e Equipamentos,"21,38",Máq. e Equip. Industriais,5.038
DURA3,"31,90",ON,07/10/2009,DURATEX ON,"0,00",Madeira e Papel,"0,00",Madeira,0
DURA4,"31,39",PN,07/10/2009,DURATEX PN,"0,00",Madeira e Papel,"0,00",Madeira,0
DEXP4,"7,39",PN,30/11/2021,DEXXOS PAR PN,"7,01",Químicos,"15,37",Petroquímicos,57.741
DUQE4,"2,95",PN,19/12/2014,METALURGICA DUQUE SA PN,"0,00",Siderurgia e Metalurgia,"0,00",Artefatos de Ferro e Aço,0
DUFB11,"0,00",DR3,-,DUFRY SOUTH AMERICA LTD. DR3,"0,00",Comércio,"0,00",Produtos Diversos,0
DTCY3,"7,50",ON,26/11/2021,DTCOM ON,"6,81",Serviços Diversos,"14,00",Serviços Diversos,8.665
DASA3,"34,85",ON,30/11/2021,DIAGNOSTICOS DA AMERICA SA ON,"33,87",Serv.Méd.Hospit. Análises e Diagnósticos,"199,00",Serv.Méd.Hospit. Análises e Diagnósticos,9.733.500
DAGB33,"375,00",DR3,15/10/2018,DUFRY AG DR3,"0,00",Comércio,"0,00",Produtos Diversos,0
CZRS3,"0,00",ON N1,30/12/1899,Cruzeiro Sul ON N1,"0,00",Intermediários Financeiros,"0,00",Bancos,0
DOHL4,"6,12",PN,30/11/2021,DOHLER PN,"4,80","Tecidos, Vestuário e Calçados","7,16",Fios e Tecidos,43.304
DMVF3,"4,61",ON NM,30/11/2021,D1000VFARMA ON NM,"4,61",Comércio e Distribuição,"13,01",Medicamentos e Outros Produtos,616.578
CVCB3,"13,62",ON NM,30/11/2021,CVC BRASIL ON NM,"13,62",Viagens e Lazer,"28,65",Viagens e Turismo,163.279.000
CTSA8,"1,00",PND,22/12/2003,SANTANENSE PND,"0,00","Tecidos, Vestuário e Calçados","0,00",Fios e Tecidos,0
DHBI3,"19,00",ON,24/07/2014,DHB ON,"0,00",Material de Transporte,"0,00",Material Rodoviário,0
DEXP3,"8,05",ON,30/11/2021,DEXXOS PAR ON,"5,68",Químicos,"17,30",Petroquímicos,5.630.300
DAYC4,"8,90",PN N1,23/08/2016,Daycoval PN N1,"0,00",Intermediários Financeiros,"0,00",Bancos,0
DESK3,"16,55",ON NM,30/11/2021,DESKTOPSIGMA ON NM,"15,15",Telecomunicações,"26,45",Telecomunicações,9.149.450
DAYC3,"0,00",ON N1,30/12/1899,Daycoval ON N1,"0,00",Intermediários Financeiros,"0,00",Bancos,0
CTIP3,"49,50",ON NM,29/03/2017,CETIP ON NM,"0,00",Serviços Financeiros Diversos,"0,00",Serviços Financeiros Diversos,0
CSRN6,"14,70",PNB,17/11/2021,COSERN PNB,"12,64",Energia Elétrica,"54,83",Energia Elétrica,541
CYRE4,"8,50",PN,24/06/2005,CYRELA BRAZIL REALTY PN,"0,00",Construção Civil,"0,00",Incorporações,0
CZRS4,"2,49",PN,13/09/2012,Cruzeiro Sul PN,"0,00",Intermediários Financeiros,"0,00",Bancos,0
CYRE3,"13,60",PN,30/11/2021,CYRELA BRAZIL REALTY PN,"13,60",Construção Civil,"28,94",Incorporações,135.243.000
CXSE3,"8,22",ON NM,30/11/2021,CAIXA SEGURI ON NM,"7,56",Previdência e Seguros,"13,05",Seguradoras,36.954.900
CURY3,"6,73",ON NM,30/11/2021,CURY S/A ON NM,"6,60",Construção Civil,"11,13",Incorporações,6.690.530
CTSA4,"1,39",PN,30/11/2021,SANTANENSE PN,"1,39","Tecidos, Vestuário e Calçados","3,80",Fios e Tecidos,62.030
CTSA3,"1,91",ON,30/11/2021,SANTANENSE ON,"1,91","Tecidos, Vestuário e Calçados","3,77",Fios e Tecidos,38.237
CTPC4,"6,50",PN,22/06/2007,CTM CITRUS SA PN,"0,00",Alimentos Processados,"0,00",Alimentos Diversos,0
CTPC3,"0,20",ON,04/01/2012,CTM CITRUS SA ON,"0,00",Alimentos Processados,"0,00",Alimentos Diversos,0
CTNM4,"3,74",PN,30/11/2021,COTEMINAS PN,"3,65","Tecidos, Vestuário e Calçados","7,70",Fios e Tecidos,87.255
CTNM3,"9,10",ON,30/11/2021,COTEMINAS ON,"9,10","Tecidos, Vestuário e Calçados","13,70",Fios e Tecidos,1.243
CTKA4,"14,41",PN,30/11/2021,KARSTEN PN,"14,40","Tecidos, Vestuário e Calçados","32,50",Fios e Tecidos,31.796
CRPG6,"64,99",PNB,29/11/2021,CRISTAL PNB,"24,58",Químicos,"118,04",Químicos Diversos,27.209
CSRN3,"16,87",ON,25/11/2021,COSERN ON,"13,11",Energia Elétrica,"25,92",Energia Elétrica,3.071
CTKA3,"23,00",ON,22/11/2021,KARSTEN ON,"17,15","Tecidos, Vestuário e Calçados","38,06",Fios e Tecidos,2.019
CSRN5,"15,30",PNA,16/11/2021,COSERN PNA,"13,22",Energia Elétrica,"25,73",Energia Elétrica,733
CRFB3,"15,33",ON NM,30/11/2021,CARREFOUR BR ON NM,"15,33",Comércio e Distribuição,"22,94",Alimentos,73.743.100
CRDE3,"20,84",ON,30/11/2021,CR2 ON,"18,22",Construção Civil,"28,00",Incorporações,4.685
CSNA3,"21,76",ON,30/11/2021,CSN ON,"19,81",Siderurgia e Metalurgia,"50,37",Siderurgia,331.971.000
CSMG3,"12,82",ON,30/11/2021,COPASA MG ON,"12,52",Água e Saneamento,"17,35",Água e Saneamento,28.413.900
CPRE3,"18,23",ON NM,02/07/2020,CPFL RENOVAV ON NM,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
CPNY3,"2,35",ON,26/11/2008,COMPANY S/A ON,"0,00",Construção Civil,"0,00",Incorporações,0
CPLE6,"6,14",PNB,30/11/2021,COPEL PNB,"4,93",Energia Elétrica,"6,80",Energia Elétrica,114.914.000
CPLE5,"30,01",PNA,30/11/2021,COPEL PNA,"9,56",Energia Elétrica,"54,42",Energia Elétrica,2.378
CPLE3,"5,56",ON,30/11/2021,COPEL ON,"4,86",Energia Elétrica,"6,28",Energia Elétrica,12.083.100
CSAN3,"21,25",ON,30/11/2021,COSAN SA INDUSTRIA E COMERCIO ON,"17,19","Petróleo, Gás e Biocombustíveis","27,20","Exploração, Refino e Distribuição",173.489.000
CSED3,"6,50",ON NM,30/11/2021,CRUZEIRO EDU ON NM,"6,04",Diversos,"16,06",Serviços Educacionais,5.849.270
CSAB4,"44,00",PN,17/11/2021,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA PN,"40,04",Previdência e Seguros,"53,00",Seguradoras,1.461
CSAB3,"65,00",ON,16/06/2021,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA ON,"46,66",Previdência e Seguros,"69,01",Seguradoras,0
CPFG3,"12,65",ON,29/07/2005,CPFL GERAÇÂO DE ENERGIA S/A ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
CRPG3,"94,69",ON,30/11/2021,CRISTAL ON,"25,46",Químicos,"127,97",Químicos Diversos,237
CRPG5,"54,00",PNA,30/11/2021,CRISTAL PNA,"24,99",Químicos,"118,71",Químicos Diversos,3.410.710
COCE6,"35,00",PNB,20/03/2012,CIA ENERG CEARA - COELCE PNB,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
COCE5,"55,00",PNA,30/11/2021,CIA ENERG CEARA - COELCE PNA,"47,14",Energia Elétrica,"60,61",Energia Elétrica,1.086.870
COCE3,"60,00",ON,29/11/2021,CIA ENERG CEARA - COELCE ON,"48,49",Energia Elétrica,"85,39",Energia Elétrica,766
CRIV4,"5,79",PN,30/11/2021,ALFA FINANCEIRA PN,"5,52",Intermediários Financeiros,"6,40",Soc. Crédito e Financiamento,12.451
CRIV3,"4,90",ON,30/11/2021,ALFA FINANCEIRA ON,"4,85",Intermediários Financeiros,"7,17",Soc. Crédito e Financiamento,1.867
CREM4,"48,00",PN,07/05/2004,CREMER S.A. PN,"0,00",Medicamentos e Outros Produtos,"0,00",Medicamentos e Outros Produtos,0
CREM3,"14,50",ON,24/10/2018,CREMER S.A. ON,"0,00",Medicamentos e Outros Produtos,"0,00",Medicamentos e Outros Produtos,0
CLSC4,"69,25",PN N2,30/11/2021,CELESC PN N2,"45,88",Energia Elétrica,"78,26",Energia Elétrica,406.728
CLSA3,"9,65",ON NM,30/11/2021,CLEARSALE ON NM,"9,65",Serviços Financeiros Diversos,"29,69",Serviços Financeiros Diversos,14.600.400
CPFP4,"44,00",PN,02/01/2006,CPFL - PIRATININGA PN,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
CPLE11,"29,36",UNT,30/11/2021,COPEL UNT,"25,96",Energia Elétrica,"33,13",Energia Elétrica,16.768.900
CORR4,"82,00",PN,11/02/2021,CORREA RIBEIRO SA COM. IND. PN,"82,00",Exploração de Imóveis,"82,00",Exploração de Imóveis,0
CORR3,"12,00",ON,15/06/2005,CORREA RIBEIRO SA COM. IND. ON,"0,00",Exploração de Imóveis,"0,00",Exploração de Imóveis,0
CPFE3,"26,40",ON,30/11/2021,CPFL ENERGIA S.A. ON,"23,14",Energia Elétrica,"30,39",Energia Elétrica,118.963.000
CPFG4,"12,26",PN,29/07/2005,CPFL GERAÇÂO DE ENERGIA S/A PN,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
CGOS4,"16,00",PN,24/08/2004,CELG PN,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
COGN3,"2,48",ON,30/11/2021,COGNA ON,"2,35",Diversos,"5,30",Serviços Educacionais,112.554.000
CNFB4,"5,99",PN N1,11/05/2012,CONFAB PN N1,"0,00",Siderurgia e Metalurgia,"0,00",Artefatos de Ferro e Aço,0
CMIN3,"5,97",ON N2,30/11/2021,CSNMINERACAO ON N2,"5,21",Mineração,"10,51",Minerais Metálicos,58.572.100
CMIG4,"13,14",PN N1,30/11/2021,CEMIG PN N1,"9,74",Energia Elétrica,"15,11",Energia Elétrica,144.132.000
CMIG3,"17,30",ON N1,30/11/2021,CEMIG ON N1,"11,82",Energia Elétrica,"18,99",Energia Elétrica,8.550.520
CESP4,"16,29",PN,27/07/2006,CESP CIA ENERGETICA SAO PAULO PN,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
CESP3,"22,51",ON,30/11/2021,CESP CIA ENERGETICA SAO PAULO ON,"22,00",Energia Elétrica,"31,48",Energia Elétrica,265.408
CLSC6,"0,00",PNB N2,-,CELESC PNB N2,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
CLSC5,"39,01",PNA N2,25/04/2011,CELESC PNA N2,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
